benchmark,instance_idx,vnn_rel,verdict,call_idx,level,event,tau_k,phi_q_quantile,phi_min,phi_mean,phi_max,was_clamped,frac_in_U,mh_accept_rate
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,0,init,inf,6.526557445526123,5.908442497253418,6.965818881988525,9.468286514282227,False,0.0,nan
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,1,level_complete,6.526557445526123,6.526557445526123,5.870405673980713,6.372020244598389,6.526552200317383,False,0.0,0.8759
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,2,level_complete,6.167102336883545,6.167102336883545,5.822045803070068,6.09567403793335,6.167061805725098,False,0.0,0.85075
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,3,level_complete,6.014978885650635,6.014978885650635,5.75427770614624,5.955725193023682,6.014958381652832,False,0.0,0.8207
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,4,level_complete,5.884243488311768,5.884243488311768,5.674525260925293,5.842555046081543,5.884194374084473,False,0.0,0.7911
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,5,level_complete,5.792842388153076,5.792842388153076,5.5781660079956055,5.757718086242676,5.7928290367126465,False,0.0,0.76775
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,6,level_complete,5.7151899337768555,5.7151899337768555,5.525060653686523,5.682296276092529,5.715176582336426,False,0.0,0.75575
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,7,level_complete,5.643707275390625,5.643707275390625,5.480712890625,5.612417221069336,5.643693923950195,False,0.0,0.74805
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,8,level_complete,5.576927661895752,5.576927661895752,5.414351463317871,5.545929431915283,5.576906204223633,False,0.0,0.7519
metaroom_2023,14,./vnnlib/spec_idx_148_eps_0.00000436.vnnlib,UNSAT,0,9,level_complete,5.508474826812744,5.508474826812744,5.344916820526123,5.481441020965576,5.508466720581055,False,0.0,0.7325
